CityName,province,cityE
黄山市,Anhui,Huangshan
东营市,Shandong,Dongying
临沂市,Shandong,Linyi
威海市,Shandong,Weihai
德州市,Shandong,Dezhou
日照市,Shandong,Rizhao
枣庄市,Shandong,Zaozhuang
泰安市,Shandong,Taian
济南市,Shandong,Jinan
济宁市,Shandong,Jining
淄博市,Shandong,Zibo
滨州市,Shandong,Binzhou
潍坊市,Shandong,Weifang
烟台市,Shandong,Yantai
聊城市,Shandong,Liaocheng
菏泽市,Shandong,Heze
青岛市,Shandong,Qingdao
临汾市,Shanxi,Linfen
大同市,Shanxi,Datong
太原市,Shanxi,Taiyuan
忻州市,Shanxi,Xinzhou
晋中市,Shanxi,Jinzhong
晋城市,Shanxi,Jincheng
运城市,Shanxi,Yuncheng
长治市,Shanxi,Changzhi
阳泉市,Shanxi,Yangquan
东莞市,Guangdong,Dongguan
中山市,Guangdong,Zhongshan
云浮市,Guangdong,Yunfu
佛山市,Guangdong,Foshan
广州市,Guangdong,Guangzhou
惠州市,Guangdong,Huizhou
揭阳市,Guangdong,Jieyang
梅州市,Guangdong,Meizhou
汕头市,Guangdong,Shantou
汕尾市,Guangdong,Shanwei
江门市,Guangdong,Jiangmen
河源市,Guangdong,Heyuan
深圳市,Guangdong,Shenzhen
清远市,Guangdong,Qingyuan
湛江市,Guangdong,Zhangjiang
潮州市,Guangdong,Chaozhou
珠海市,Guangdong,Zhuhai
肇庆市,Guangdong,Zhaoqing
茂名市,Guangdong,Maoming
阳江市,Guangdong,Yangjiang
韶关市,Guangdong,Shaoguan
北海市,Guangxi,Beihai
南宁市,Guangxi,Nanning
崇左市,Guangxi,Chongzuo
柳州市,Guangxi,Liuzhou
桂林市,Guangxi,Guilin
梧州市,Guangxi,Wuzhou
百色市,Guangxi,Baise
贵港市,Guangxi,Guigang
钦州市,Guangxi,Qinzhou
南京市,Jiangsu,Nanjing
南通市,Jiangsu,Nantong
宿迁市,Jiangsu,Suqian
常州市,Jiangsu,Changzhou
徐州市,Jiangsu,Xuzhou
扬州市,Jiangsu,Yangzhou
无锡市,Jiangsu,Wuxi
泰州市,Jiangsu,Taizhou
淮安市,Jiangsu,Huaian
盐城市,Jiangsu,Yancheng
苏州市,Jiangsu,Suzhou
连云港市,Jiangsu,Lianyungang
镇江市,Jiangsu,Zhenjiang
上饶市,Jiangxi,Shanrao
九江市,Jiangxi,Jiujiang
南昌市,Jiangxi,Nanchang
吉安市,Jiangxi,Jian
宜春市,Jiangxi,Yichuan
抚州市,Jiangxi,Fuzhou
新余市,Jiangxi,Xinyu
景德镇市,Jiangxi,Jingdezhen
萍乡市,Jiangxi,Pingxiang
赣州市,Jiangxi,Ganzhou
保定市,Hebei,Baoding
唐山市,Hebei,Tangshan
廊坊市,Hebei,Langfang
张家口市,Hebei,Zhangjiakou
承德市,Hebei,Dengde
沧州市,Hebei,Cangzhou
石家庄市,Hebei,Shijiazhuang
秦皇岛市,Hebei,Xinhuangdao
衡水市,Hebei,Hengshui
邢台市,Hebei,Xingtai
邯郸市,Hebei,Handan
信阳市,Henan,Xinyang
南阳市,Henan,Nanyang
周口市,Henan,Zhoukou
商丘市,Henan,Shangqiu
开封市,Henan,Kaifeng
新乡市,Henan,Xinxiang
洛阳市,Henan,Luoyang
许昌市,Henan,Xuchang
郑州市,Henan,Zhengzhou
驻马店市,Henan,Zhumadian
丽水市,Zhejiang,Lishui
台州市,Zhejiang,Taizhou
嘉兴市,Zhejiang,Jiaxing
宁波市,Zhejiang,Ningbo
杭州市,Zhejiang,Hangzhou
温州市,Zhejiang,Wenzhou
湖州市,Zhejiang,Huzhou
绍兴市,Zhejiang,Shanxing
舟山市,Zhejiang,Zhoushan
衢州市,Zhejiang,Quzhou
金华市,Zhejiang,Jinhua
三亚市,Hainan,Sanya
儋州市,Hainan,Danzhou
海口市,Hainan,Haikou
十堰市,Hubei,Shiyan
咸宁市,Hubei,Xianning
孝感市,Hubei,Xiaogan
宜昌市,Hubei,Yichang
武汉市,Hubei,Wuhan
荆州市,Hubei,Jingzhou
荆门市,Hubei,Jingmen
襄阳市,Hubei,Xiangyang
鄂州市,Hubei,Ezhou
随州市,Hubei,Suizhou
黄石市,Hubei,Huangshi
吉首市,Hunan,Jishou
岳阳市,Hunan,Yueyang
常德市,Hunan,Channgde
张家界市,Hunan,ZHangjiajie
怀化市,Hunan,Huaihua
株洲市,Hunan,Zhuzhou
永州市,Hunan,Yongzhou
湘潭市,Hunan,Xiangtan
衡阳市,Hunan,Hengyang
邵阳市,Hunan,Shaoyang
郴州市,Hunan,Chenzhou
长沙市,Hunan,Changsha
兰州市,Gansu,Lanzhou
天水市,Gansu,Tianshui
三明市,Fujian,Sanmin
南平市,Fujian,Nanping
厦门市,Fujian,Xiamen
宁德市,Fujian,Ningde
泉州市,Fujian,Quanzhou
漳州市,Fujian,Zhangzhou
福州市,Fujian,Fuzhou
莆田市,Fujian,Putian
龙岩市,Fujian,Longyan
六盘水市,Guizhou,Liupanshui
兴义市,Guizhou,Xingyi
安顺市,Guizhou,Anshu
贵阳市,Guizhou,Guiyang
遵义市,Guizhou,Zunyi
都匀市,Guizhou,Duyun
丹东市,Liaoning,Dandong
大连市,Liaoning,Dalian
抚顺市,Liaoning,Fushun
朝阳市,Liaoning,Chaoyang
本溪市,Liaoning,Benxi
沈阳市,Liaoning,Shenyang
盘锦市,Liaoning,Panjin
营口市,Liaoning,Yingkou
辽阳市,Liaoning,Liaoyang
锦州市,Liaoning,Jinzhou
阜新市,Liaoning,Fuxin
鞍山市,Liaoning,Anshan
重庆市,Chongqing,Chongqing
咸阳市,Shanxi,Xianyang
安康市,Shanxi,Ankang
宝鸡市,Shanxi,Baoji
延安市,Shanxi,Yanan
榆林市,Shanxi,Yulin
汉中市,Shanxi,Hanzhong
渭南市,Shanxi,Weinan
西安市,Shanxi,Xian
西宁市,Qinghai,Xining
哈尔滨市,Heilongjiang,Harbin
大庆市,Heilongjiang,Daqing
牡丹江市,Heilongjiang,Mudanjiang
绥化市,Heilongjiang,Suihua
齐齐哈尔市,Heilongjiang,Qiqihar
